CRASH DATE,CRASH TIME,CRASH_DATETIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,COLLISION_ID,UNIQUE_ID,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,COMPLAINT,PED_ROLE,PERSON_SEX,YEAR,INJURY_TYPE
2019-09-24,11:04:00,2019-09-24 11:04:00,NONE,,40.693516,-73.96499,"(40.693516, -73.96499)",MYRTLE AVENUE,,1.0,0.0,0,0,0,0,1,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,PICK-UP TRUCK,4211982,10169929,63110A7B-CE96-4685-AB76-E103883B2B64,OCCUPANT,UNSPECIFIED,19101677.0,32.0,,,,,,,REGISTRANT,F,2019,MOTORIST
2019-10-03,07:53:00,2019-10-03 07:53:00,MANHATTAN,10014,40.733543,-74.00333,"(40.733543, -74.00333)",,,1.0,0.0,0,0,0,0,1,0,PASSING TOO CLOSELY,UNSPECIFIED,TAXI,BOX TRUCK,4216800,10192586,A226EF3F-626B-4C08-BC18-1DF695A18062,OCCUPANT,UNSPECIFIED,19112957.0,0.0,,,,,,,REGISTRANT,,2019,MOTORIST
2019-10-15,22:40:00,2019-10-15 22:40:00,BROOKLYN,11237,40.701912,-73.91807,"(40.701912, -73.91807)",,,0.0,0.0,0,0,0,0,0,0,PASSING OR LANE USAGE IMPROPER,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4226865,10236185,581ABA30-7DEA-43DD-83A8-8605C797D86B,OCCUPANT,UNSPECIFIED,19134774.0,31.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-10-15,17:00:00,2019-10-15 17:00:00,QUEENS,11433,40.707947,-73.78331,"(40.707947, -73.78331)",178 STREET,JAMAICA AVENUE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,SEDAN,SEDAN,4224062,10224432,693FCA5F-7FC5-41A7-B805-A644738C8970,OCCUPANT,UNSPECIFIED,19128939.0,74.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT,DOES NOT APPLY,DRIVER,F,2019,MOTORIST
2019-10-04,13:00:00,2019-10-04 13:00:00,BROOKLYN,11213,40.66777,-73.94514,"(40.66777, -73.94514)",BROOKLYN AVENUE,PRESIDENT STREET,0.0,0.0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4217806,10196350,C9302D83-61C5-4926-9A46-FB1D2D05E189,OCCUPANT,UNSPECIFIED,19114820.0,30.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-10-05,16:08:00,2019-10-05 16:08:00,BRONX,10454,40.80715,-73.90821,"(40.80715, -73.90821)",SOUTHERN BOULEVARD,EAST 142 STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4218821,10201276,E0A023D1-B7E9-474C-B14C-4675BF559942,OCCUPANT,UNSPECIFIED,19117258.0,48.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",LAP BELT & HARNESS,DOES NOT APPLY,PASSENGER,F,2019,MOTORIST
2019-10-04,08:35:00,2019-10-04 08:35:00,BROOKLYN,11233,40.677277,-73.9266,"(40.677277, -73.9266)",ATLANTIC AVENUE,SUYDAM PLACE,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4217583,10195788,0E0E894C-30AF-46F4-914C-6C22C6B94F0D,OCCUPANT,UNSPECIFIED,19114549.0,41.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-27,15:10:00,2019-09-27 15:10:00,BRONX,10460,40.84196,-73.87203,"(40.84196, -73.87203)",,,0.0,0.0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,VAN,STATION WAGON/SPORT UTILITY VEHICLE,4214350,10183194,255177DC-27F1-4CE3-8702-B2ABA124EE69,OCCUPANT,UNSPECIFIED,19108244.0,48.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",UNKNOWN,DOES NOT APPLY,PASSENGER,M,2019,MOTORIST
2019-10-04,10:55:00,2019-10-04 10:55:00,MANHATTAN,10017,40.755672,-73.97238,"(40.755672, -73.97238)",,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,TAXI,STATION WAGON/SPORT UTILITY VEHICLE,4217537,10197100,C9EBE8EB-574A-42BF-97A6-C17CDDDFFE61,OCCUPANT,UNSPECIFIED,19115187.0,,,,,,,,REGISTRANT,,2019,MOTORIST
2019-09-20,10:30:00,2019-09-20 10:30:00,QUEENS,11354,40.76565,-73.837425,"(40.76565, -73.837425)",COLLEGE POINT BOULEVARD,33 AVENUE,0.0,0.0,0,0,0,0,0,0,UNSAFE LANE CHANGING,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,BOX TRUCK,4209351,10162011,1F29340A-B38B-4E45-9739-273725AD0EAD,OCCUPANT,UNSPECIFIED,19097674.0,54.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",LAP BELT & HARNESS,DOES NOT APPLY,PASSENGER,F,2019,MOTORIST
2019-10-12,19:15:00,2019-10-12 19:15:00,NONE,,40.708763,-73.998116,"(40.708763, -73.998116)",FDR DRIVE,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4223138,10259294,0EAD6E88-E49E-4A41-A4AB-9AAB5B697E52,OCCUPANT,UNSPECIFIED,19146196.0,45.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-10-08,11:05:00,2019-10-08 11:05:00,MANHATTAN,10028,40.776867,-73.955414,"(40.776867, -73.955414)",3 AVENUE,EAST 83 STREET,0.0,0.0,0,0,0,0,0,0,DRIVER INEXPERIENCE,UNSPECIFIED,BOX TRUCK,STATION WAGON/SPORT UTILITY VEHICLE,4220168,10206986,B7C5A84E-1E45-4C12-B135-6D0DF0CDF817,OCCUPANT,UNSPECIFIED,19120176.0,35.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-24,08:00:00,2019-09-24 08:00:00,QUEENS,11432,40.722633,-73.7798,"(40.722633, -73.7798)",,,0.0,0.0,0,0,0,0,0,0,BACKING UNSAFELY,UNSPECIFIED,PICK-UP TRUCK,STATION WAGON/SPORT UTILITY VEHICLE,4212359,10174767,6861117B-A5C7-4ABF-8EF3-BE82E9C4162D,OCCUPANT,UNSPECIFIED,19104094.0,50.0,,,,,,,REGISTRANT,M,2019,MOTORIST
2019-09-30,13:31:00,2019-09-30 13:31:00,QUEENS,11355,40.75226,-73.8324,"(40.75226, -73.8324)",,,0.0,0.0,0,0,0,0,0,0,BACKING UNSAFELY,BACKING UNSAFELY,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4215531,10187733,F770ECBB-71CF-4344-8ACD-1814BD93032C,OCCUPANT,UNSPECIFIED,19110521.0,50.0,,,,,,,REGISTRANT,M,2019,MOTORIST
2019-10-10,14:00:00,2019-10-10 14:00:00,MANHATTAN,10025,40.804886,-73.96248,"(40.804886, -73.96248)",AMSTERDAM AVENUE,WEST 113 STREET,0.0,0.0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,PICK-UP TRUCK,SEDAN,4221584,10267256,469EEA21-0FD7-4295-961D-94B6251FA7C6,OCCUPANT,UNSPECIFIED,19150143.0,25.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-10-15,08:20:00,2019-10-15 08:20:00,NONE,,40.67765,-73.87058,"(40.67765, -73.87058)",CONDUIT BOULEVARD,CRESCENT STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4223349,10222757,2B89B6C4-A211-41E3-96B5-8D1DB8720D32,OCCUPANT,UNSPECIFIED,19128111.0,,,,,,,,REGISTRANT,U,2019,MOTORIST
2019-10-02,13:30:00,2019-10-02 13:30:00,BROOKLYN,11213,40.66736,-73.93125,"(40.66736, -73.93125)",,,1.0,0.0,0,0,0,0,1,0,TURNING IMPROPERLY,UNSPECIFIED,MOTORCYCLE,STATION WAGON/SPORT UTILITY VEHICLE,4219151,10203204,5CCAB1AE-C652-4FE8-9823-E74E1F3DE9E7,OCCUPANT,UNSPECIFIED,19118253.0,43.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2019,MOTORIST
2019-09-15,18:05:00,2019-09-15 18:05:00,QUEENS,11373,40.744637,-73.873695,"(40.744637, -73.873695)",,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,PASSENGER DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE,TAXI,4206759,10150900,DEA14EAC-E936-434E-935A-05B5A4DBF608,OCCUPANT,UNSPECIFIED,19092078.0,43.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-15,14:45:00,2019-09-15 14:45:00,MANHATTAN,10010,40.738316,-73.98773,"(40.738316, -73.98773)",EAST 20 STREET,PARK AVENUE SOUTH,0.0,0.0,0,0,0,0,0,0,TURNING IMPROPERLY,TURNING IMPROPERLY,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4206114,10146377,3BB123A1-3651-4BDE-B7BC-DA439CE9909A,OCCUPANT,UNSPECIFIED,19089812.0,35.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-15,18:02:00,2019-09-15 18:02:00,QUEENS,11426,40.73826,-73.71657,"(40.73826, -73.71657)",252 STREET,82 DRIVE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4206183,10149153,F5273C35-E5D5-4D72-9859-B64CB97FA453,OCCUPANT,UNSPECIFIED,19091171.0,27.0,,,,,,,REGISTRANT,F,2019,MOTORIST
2019-09-17,06:00:00,2019-09-17 06:00:00,BROOKLYN,11210,40.61721,-73.945076,"(40.61721, -73.945076)",NOSTRAND AVENUE,AVENUE N,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4207202,10152867,5E6A2FB6-2867-42FE-B9E4-0AF6F14D4634,OCCUPANT,UNSPECIFIED,19093044.0,0.0,,,,,,,REGISTRANT,U,2019,MOTORIST
2019-09-15,12:32:00,2019-09-15 12:32:00,BROOKLYN,11205,40.695084,-73.96436,"(40.695084, -73.96436)",,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,BOX TRUCK,4207291,10151961,C295F397-1E4E-47B0-ADD0-369D9F7883C2,OCCUPANT,UNSPECIFIED,19092603.0,25.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-15,15:00:00,2019-09-15 15:00:00,BROOKLYN,11203,40.652916,-73.94498,"(40.652916, -73.94498)",LINDEN BOULEVARD,EAST 35 STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4206108,10147974,F7D1E5B5-C88B-462F-A292-C7DEA0193229,OCCUPANT,UNSPECIFIED,19090580.0,0.0,,,,,,,REGISTRANT,F,2019,MOTORIST
2019-09-16,06:36:00,2019-09-16 06:36:00,NONE,,40.827595,-73.85004,"(40.827595, -73.85004)",CASTLE HILL AVENUE,BRUCKNER BOULEVARD,0.0,0.0,0,0,0,0,0,0,TURNING IMPROPERLY,UNSPECIFIED,BUS,SEDAN,4215239,10187148,9F447388-DF27-431D-8FAC-543C6674F0A3,OCCUPANT,UNSPECIFIED,19110225.0,0.0,,,,,,,REGISTRANT,,2019,MOTORIST
2019-09-16,07:15:00,2019-09-16 07:15:00,NONE,,40.70269,-73.839485,"(40.70269, -73.839485)",PARK LANE SOUTH,,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4207070,10151017,25DE35B7-96F1-4719-8348-397A42699B2E,OCCUPANT,UNSPECIFIED,19092142.0,30.0,,,,,,,REGISTRANT,M,2019,MOTORIST
2019-09-16,14:00:00,2019-09-16 14:00:00,BROOKLYN,11215,40.665565,-73.98932,"(40.665565, -73.98932)",5 AVENUE,15 STREET,0.0,0.0,0,0,0,0,0,0,BACKING UNSAFELY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4207022,10150555,85327B72-6C35-4E7A-B556-7F39DA0E2356,OCCUPANT,UNSPECIFIED,19091900.0,3.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"MIDDLE REAR SEAT, OR PASSENGER LYING ACROSS A SEAT",LAP BELT & HARNESS,DOES NOT APPLY,PASSENGER,M,2019,MOTORIST
2019-09-15,19:45:00,2019-09-15 19:45:00,BROOKLYN,11201,40.68966,-74.00047,"(40.68966, -74.00047)",COLUMBIA STREET,CONGRESS STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,SEDAN,SEDAN,4207163,10149418,4FCBD438-56DD-46BC-B8B6-CFC1707A3FED,OCCUPANT,UNSPECIFIED,19091308.0,35.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-15,10:50:00,2019-09-15 10:50:00,NONE,,40.696995,-73.95475,"(40.696995, -73.95475)",PARK AVENUE,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,STATION WAGON/SPORT UTILITY VEHICLE,,4206218,10146328,829093F1-5357-4289-A77F-98667BC9404F,OCCUPANT,UNSPECIFIED,19089780.0,53.0,,,,,,,REGISTRANT,F,2019,MOTORIST
2019-09-17,16:20:00,2019-09-17 16:20:00,QUEENS,11365,40.74217,-73.804436,"(40.74217, -73.804436)",164 STREET,BOOTH MEMORIAL AVENUE,0.0,0.0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4207651,10154240,E76ACBAE-2B5A-4EBD-A2FF-A5528119D380,OCCUPANT,UNSPECIFIED,19093741.0,71.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2019,MOTORIST
2019-09-17,20:28:00,2019-09-17 20:28:00,BRONX,10454,40.804043,-73.907234,"(40.804043, -73.907234)",WALNUT AVENUE,EAST 140 STREET,0.0,0.0,0,0,0,0,0,0,TURNING IMPROPERLY,UNSPECIFIED,BOX TRUCK,BOX TRUCK,4207710,10153646,68039067-F580-4BDD-9D52-E984E0B01803,OCCUPANT,UNSPECIFIED,19093441.0,58.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-16,09:10:00,2019-09-16 09:10:00,BROOKLYN,11203,40.654472,-73.945145,"(40.654472, -73.945145)",EAST 35 STREET,LENOX ROAD,0.0,0.0,0,0,0,0,0,0,PASSING OR LANE USAGE IMPROPER,UNSPECIFIED,SEDAN,DUMP,4207525,10153437,4EBC031F-8317-43E0-B783-BDBA97F49254,OCCUPANT,UNSPECIFIED,19093338.0,24.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-17,16:53:00,2019-09-17 16:53:00,BROOKLYN,11203,40.651108,-73.94283,"(40.651108, -73.94283)",CHURCH AVENUE,EAST 37 STREET,6.0,0.0,0,0,0,0,6,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4208122,10156765,E153BDF5-C9EC-486E-B727-EC751A72266E,OCCUPANT,INJURED,19095027.0,39.0,NOT EJECTED,CONSCIOUS,ENTIRE BODY,RIGHT REAR PASSENGER OR MOTORCYCLE SIDECAR PASSENGER,LAP BELT & HARNESS,NONE VISIBLE,PASSENGER,F,2019,MOTORIST
2019-09-17,10:00:00,2019-09-17 10:00:00,QUEENS,11434,40.667084,-73.78698,"(40.667084, -73.78698)",NORTH CONDUIT AVENUE,BAISLEY BOULEVARD,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,TRACTOR TRUCK DIESEL,SEDAN,4207581,10154028,7B5AA5BF-2D9C-460C-BD84-A1169800E35E,OCCUPANT,UNSPECIFIED,19093629.0,21.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,F,2019,MOTORIST
2019-09-15,17:40:00,2019-09-15 17:40:00,BROOKLYN,11203,40.637745,-73.93281,"(40.637745, -73.93281)",,,0.0,0.0,0,0,0,0,0,0,REACTION TO UNINVOLVED VEHICLE,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4208116,10156736,83C4AE6A-F0F8-4105-B9F5-B1AAD13E1296,OCCUPANT,UNSPECIFIED,19095011.0,27.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-15,11:15:00,2019-09-15 11:15:00,QUEENS,11412,40.68645,-73.761185,"(40.68645, -73.761185)",120 AVENUE,FARMERS BOULEVARD,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4205917,10148693,6F6AB2E6-6FDA-4B42-B702-F843659F068C,OCCUPANT,UNSPECIFIED,19090945.0,54.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2019,MOTORIST
2019-09-16,09:45:00,2019-09-16 09:45:00,MANHATTAN,10001,40.751522,-73.99396,"(40.751522, -73.99396)",8 AVENUE,WEST 33 STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,TAXI,STATION WAGON/SPORT UTILITY VEHICLE,4207931,10155542,0921CB87-6592-419E-B974-169EAD277185,OCCUPANT,UNSPECIFIED,19094382.0,,,,,,,,REGISTRANT,U,2019,MOTORIST
2019-09-17,15:29:00,2019-09-17 15:29:00,BROOKLYN,11233,40.683548,-73.92619,"(40.683548, -73.92619)",,,1.0,0.0,0,0,0,0,1,0,VIEW OBSTRUCTED/LIMITED,,BUS,,4210258,10163707,87BE3C7C-7FCD-41D5-8FE7-6925186B10EB,OCCUPANT,UNSPECIFIED,19098518.0,0.0,,,,,,,REGISTRANT,,2019,MOTORIST
2019-09-16,15:20:00,2019-09-16 15:20:00,NONE,,40.673565,-73.90788,"(40.673565, -73.90788)",EAST NEW YORK AVENUE,STONE AVENUE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,SEDAN,BOX TRUCK,4206959,10150001,3F726A90-FA2A-454F-B9A1-D38A954DE962,OCCUPANT,UNSPECIFIED,19091616.0,25.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",LAP BELT & HARNESS,DOES NOT APPLY,PASSENGER,M,2019,MOTORIST
2019-09-16,09:50:00,2019-09-16 09:50:00,BRONX,10453,40.85198,-73.91018,"(40.85198, -73.91018)",WEST TREMONT AVENUE,DAVIDSON AVENUE,0.0,0.0,0,0,0,0,0,0,PASSING OR LANE USAGE IMPROPER,UNSPECIFIED,BUS,STATION WAGON/SPORT UTILITY VEHICLE,4207212,10152630,0513396E-C835-4DEA-81F3-996997E877A7,OCCUPANT,UNSPECIFIED,19092921.0,72.0,,,,,,,REGISTRANT,M,2019,MOTORIST
2019-09-17,12:00:00,2019-09-17 12:00:00,NONE,,40.743477,-73.73286,"(40.743477, -73.73286)",GRAND CENTRAL PKWY,,1.0,0.0,0,0,0,0,1,0,AGGRESSIVE DRIVING/ROAD RAGE,UNSPECIFIED,SEDAN,SEDAN,4207462,10153916,95B3A8D3-5381-40F8-9FFF-81FC23614CF2,OCCUPANT,UNSPECIFIED,19093574.0,28.0,,,,,,,REGISTRANT,M,2019,MOTORIST
2019-09-16,14:53:00,2019-09-16 14:53:00,BROOKLYN,11238,40.682137,-73.96462,"(40.682137, -73.96462)",,,0.0,0.0,0,0,0,0,0,0,REACTION TO UNINVOLVED VEHICLE,VIEW OBSTRUCTED/LIMITED,STATION WAGON/SPORT UTILITY VEHICLE,MOTORSCOOTER,4207068,10149480,163E182E-76F4-453F-8F7C-1088A11285DF,OCCUPANT,UNSPECIFIED,19091346.0,45.0,,,,,,,REGISTRANT,M,2019,MOTORIST
2019-09-15,13:11:00,2019-09-15 13:11:00,NONE,,40.745686,-73.97213,"(40.745686, -73.97213)",EAST 37 STREET,QUEENS MIDTOWN TUNNEL EXIT,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,TAXI,BUS,4205888,10146968,101ACA02-0CE3-4CE4-932A-62E2E59B46AE,OCCUPANT,UNSPECIFIED,19090104.0,,,,,,,,REGISTRANT,U,2019,MOTORIST
2019-09-16,06:55:00,2019-09-16 06:55:00,QUEENS,11434,40.666695,-73.767136,"(40.666695, -73.767136)",SOUTH CONDUIT AVENUE,FARMERS BOULEVARD,0.0,0.0,0,0,0,0,0,0,TURNING IMPROPERLY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4206877,10151709,F06436FE-0C19-4F42-880D-26BA1D8A1621,OCCUPANT,UNSPECIFIED,19092484.0,45.0,,,,,,,REGISTRANT,F,2019,MOTORIST
2019-09-15,14:55:00,2019-09-15 14:55:00,BROOKLYN,11223,40.60784,-73.961975,"(40.60784, -73.961975)",QUENTIN ROAD,CONEY ISLAND AVENUE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,PICK-UP TRUCK,CONVERTIBLE,4207111,10150460,65EA5366-6CE5-4380-8511-56E8681352A0,OCCUPANT,UNSPECIFIED,19091856.0,59.0,,,,,,,REGISTRANT,M,2019,MOTORIST
2019-09-18,09:40:00,2019-09-18 09:40:00,BROOKLYN,11213,40.679184,-73.941284,"(40.679184, -73.941284)",KINGSTON AVENUE,HERKIMER STREET,1.0,0.0,0,0,0,0,1,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4208152,10155148,FE45AE90-A832-44AB-9253-D320A7FB8A4B,OCCUPANT,UNSPECIFIED,19094187.0,54.0,,,,,,,REGISTRANT,F,2019,MOTORIST
2019-09-17,08:00:00,2019-09-17 08:00:00,BROOKLYN,11236,40.645164,-73.898346,"(40.645164, -73.898346)",EAST 100 STREET,FLATLANDS AVENUE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,STATION WAGON/SPORT UTILITY VEHICLE,,4209427,10160539,C3A5FB91-AA65-417C-A5F4-301801001EC3,OCCUPANT,UNSPECIFIED,19096947.0,59.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,RIGHT REAR PASSENGER OR MOTORCYCLE SIDECAR PASSENGER,LAP BELT & HARNESS,DOES NOT APPLY,PASSENGER,M,2019,MOTORIST
2019-09-17,16:00:00,2019-09-17 16:00:00,BROOKLYN,11222,40.722515,-73.938896,"(40.722515, -73.938896)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4207557,10152194,D6B46E32-6AC4-475A-BBE4-772080C98D15,OCCUPANT,UNSPECIFIED,19092730.0,23.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2019,MOTORIST
2019-09-16,13:48:00,2019-09-16 13:48:00,BROOKLYN,11208,40.677517,-73.87399,"(40.677517, -73.87399)",,,0.0,0.0,0,0,0,0,0,0,PASSING TOO CLOSELY,UNSPECIFIED,SEDAN,SEDAN,4207808,10157552,42D25656-1508-4CD7-AEE8-6D826DA137C8,OCCUPANT,UNSPECIFIED,,,,,,,,,WITNESS,,2019,MOTORIST
2019-09-16,05:45:00,2019-09-16 05:45:00,NONE,,40.81021,-73.90208,"(40.81021, -73.90208)",BRUCKNER EXPRESSWAY,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4206575,10148115,70E6A83C-314B-46BC-B1DD-5964B06A5B4A,OCCUPANT,UNSPECIFIED,19090651.0,49.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2019,MOTORIST
